0^1^BH^1^26Q^Q1^A^^^NGPO02911G^^NJMFJ5866G^No^0^2023-2024^2024-2025^16^^CORRY CEMENTS ^KALOOR^^^^672^KALOOR^12TH AVENUE ^682017^^^^^^0^^^^BVNPQ2485H^ALPHA TOWERS ^ERNAKULAM ^16^^^2^AAMINA FIROZ ^PARTNER ^672^ALPHA TOWERS ^12TH AVENUE ^^7558628632^^^2^^KALOOR^ERNAKULAM ^16^682017^AAMINAF2@GMAIL.COM^AAMINAF2@GMAIL.COM^7558628632^2^^LineHash
0^2^CD^1^--Select--^27170.00^0.00^0.00^0.00^0.00^0.00^^27170.00^^^3544860^^06/05/2023^^54148^No^0.00^0.00^--Select--^^LineHash
0^3^CD^1^--Select--^27170.00^0.00^0.00^0.00^0.00^0.00^^27170.00^^^3544860^^06/06/2023^^54983^No^0.00^0.00^200^^LineHash
0^4^CD^1^--Select--^18386.00^0.00^0.00^0.00^0.00^0.00^^18386.00^^^3544860^^06/06/2023^^98412^No^0.00^0.00^200^^LineHash
0^5^CD^1^--Select--^28860.00^0.00^0.00^0.00^0.00^0.00^^28860.00^^^3544860^^06/07/2023^^95133^No^0.00^0.00^200^^LineHash
0^6^CD^1^--Select--^6047.00^0.00^0.00^0.00^0.00^0.00^^6047.00^^^3544860^^06/07/2023^^65869^No^0.00^0.00^200^^LineHash
0^7^DD^1^1^--Select--^3544860^06/05/2023^54148^4IB^27170.00^0.00^0.00^27170.00^1^0^^BHYFR2348J^Abhira Estates^28/04/2023^30000.00^3000.00^0.00^0.00^3000.00^^3000.00^^28/04/2023^--Select--^02^10.0000^--Select--^^^^^^^^^^^LineHash
0^25^DD^1^4^--Select--^3544860^06/07/2023^95133^4IB^28860.00^0.00^0.00^28860.00^1^0^^HJVPY5487M^Abhira Estates^28/06/2023^32000.00^3200.00^0.00^0.00^3200.00^^3200.00^^^--Select--^02^10.0000^--Select--^^^^^^^^^^^LineHash
0^26^DD^1^4^--Select--^3544860^06/07/2023^95133^4IB^28860.00^0.00^0.00^28860.00^2^0^^XEWCE3554G^Eden Parker ^28/06/2023^46500.00^4650.00^0.00^0.00^4650.00^^4650.00^^^--Select--^02^10.0000^--Select--^^^^^^^^^^^LineHash
0^27^DD^1^4^--Select--^3544860^06/07/2023^95133^4IB^28860.00^0.00^0.00^28860.00^3^0^^GHTPS5485R^Mahima Estates Ltd.^29/06/2023^50100.00^5010.00^0.00^0.00^5010.00^^5010.00^^^--Select--^02^10.0000^--Select--^^^^^^^^^^^LineHash
0^28^DD^1^4^--Select--^3544860^06/07/2023^95133^4IB^28860.00^0.00^0.00^28860.00^4^0^^JHFCV9872G^Mahira Kunal ^29/06/2023^42200.00^4220.00^0.00^0.00^4220.00^^4220.00^^^--Select--^01^10.0000^--Select--^^^^^^^^^^^LineHash
0^29^DD^1^4^--Select--^3544860^06/07/2023^95133^4IB^28860.00^0.00^0.00^28860.00^5^0^^GHDPE6540W^Rajesh Buildings^30/06/2023^58000.00^5800.00^0.00^0.00^5800.00^^5800.00^^^--Select--^02^10.0000^--Select--^^^^^^^^^^^LineHash
0^30^DD^1^4^--Select--^3544860^06/07/2023^95133^4IB^28860.00^0.00^0.00^28860.00^6^0^^CESFO3672Z^Rudra Singh ^30/06/2023^59800.00^5980.00^0.00^0.00^5980.00^^5980.00^^^--Select--^01^10.0000^--Select--^^^^^^^^^^^LineHash
0^31^DD^1^5^--Select--^3544860^06/07/2023^65869^94C^6047.00^0.00^0.00^6047.00^1^0^^CESFO3592Z^Oberoi Interiors^28/06/2023^81300.00^813.00^0.00^0.00^813.00^^813.00^^^--Select--^02^1.0000^--Select--^^^^^^^^^^^LineHash
0^32^DD^1^5^--Select--^3544860^06/07/2023^65869^94C^6047.00^0.00^0.00^6047.00^2^0^^WEIPV6544S^Sumo Suppliers & Firm^28/06/2023^62500.00^1250.00^0.00^0.00^1250.00^^1250.00^^^--Select--^02^2.0000^--Select--^^^^^^^^^^^LineHash
0^33^DD^1^5^--Select--^3544860^06/07/2023^65869^94C^6047.00^0.00^0.00^6047.00^3^0^^VERFK1652F^Sunil Amarawat^29/06/2023^93400.00^934.00^0.00^0.00^934.00^^934.00^^^--Select--^02^1.0000^--Select--^^^^^^^^^^^LineHash
0^34^DD^1^5^--Select--^3544860^06/07/2023^65869^94C^6047.00^0.00^0.00^6047.00^4^0^^XEWCE3548D^Park Joon Contracts^30/06/2023^88500.00^1770.00^0.00^0.00^1770.00^^1770.00^^^--Select--^01^2.0000^--Select--^^^^^^^^^^^LineHash
0^35^DD^1^5^--Select--^3544860^06/07/2023^65869^94C^6047.00^0.00^0.00^6047.00^5^0^^XEWCE3565D^VIP Builders Ltd.^30/06/2023^64000.00^1280.00^0.00^0.00^1280.00^^1280.00^^^--Select--^02^2.0000^--Select--^^^^^^^^^^^LineHash
