0^1^BH^1^26Q^Q1^A^^^NGPO02911G^^NJMFJ5866G^No^0^2023-2024^2024-2025^16^^CORRY CEMENTS^KALOOR^^^^672^KALOOR^12TH AVNUE^682017^^^^^^0^^^^BVNPQ2485H^ALPHA TOWER^ERNAKULAM^16^^^2^AMINA FIROZ^PARTNER^672^ALPHA TOWER^12TH AVNUE^^^^^2^^KALOOR^ERNAKULAM^16^682017^AAMINAF2@GMAIL.COM^^7558628632^2^^LineHash
0^2^CD^1^--Select--^27170.00^0.00^0.00^0.00^0.00^0.00^^27170.00^^^3544860^^06/05/2023^^54148^No^0.00^0.00^200^^LineHash
0^3^CD^1^--Select--^27170.00^0.00^0.00^0.00^0.00^0.00^^27170.00^^^3544860^^06/06/2023^^54983^No^0.00^0.00^200^^LineHash
0^4^CD^1^--Select--^18386.00^0.00^0.00^0.00^0.00^0.00^^18386.00^^^3544860^^06/06/2023^^98412^No^0.00^0.00^200^^LineHash
0^5^CD^1^--Select--^28860.00^0.00^0.00^0.00^0.00^0.00^^28860.00^^^3544860^^06/07/2023^^95133^No^0.00^0.00^200^^LineHash
0^6^CD^1^--Select--^6047.00^0.00^0.00^0.00^0.00^0.00^^6047.00^^^3544860^^06/07/2023^^65869^No^0.00^0.00^200^^LineHash
0^7^DD^1^1^--Select--^3544860^06/05/2023^54148^4IB^27170.00^0.00^0.00^27170.00^1^^^VWECS2685E^Abhira Estates^28/04/2023^30000.00^3000.00^0.00^0.00^3000.00^^3000.00^^28/04/2023^--Select--^01^^--Select--^^^^^^^^^^^LineHash
0^21^DD^1^3^--Select--^3544860^06/06/2023^98412^4JB^18386.00^0.00^0.00^18386.00^3^^^JHFCV9872G^Shimora Taxperts^28/05/2023^58600.00^5860.00^0.00^0.00^5860.00^^5860.00^^30/05/2023^--Select--^--Select--^^--Select--^^^^^^^^^^^LineHash
0^22^DD^1^3^--Select--^3544860^06/06/2023^98412^4JA^18386.00^0.00^0.00^18386.00^4^^^GHDPE6540W^Shivangi Associates^28/05/2023^35000.00^700.00^0.00^0.00^700.00^^700.00^^30/05/2023^--Select--^02^^--Select--^^^^^^^^^^^LineHash
0^23^DD^1^3^--Select--^3544860^06/06/2023^98412^4JA^18386.00^0.00^0.00^18386.00^5^^^JHFCV9872G^Rocky Techies Ltd.^30/05/2023^56000.00^1120.00^0.00^0.00^1120.00^^1120.00^^26/05/2023^--Select--^01^^--Select--^^^^^^^^^^^LineHash
0^24^DD^1^3^--Select--^3544860^06/06/2023^98412^4JA^18386.00^0.00^0.00^18386.00^6^^^GHTPS5485R^Shukra Techno World^30/05/2023^42300.00^846.00^0.00^0.00^846.00^^846.00^^28/05/2023^--Select--^02^^--Select--^^^^^^^^^^^LineHash
0^25^DD^1^4^--Select--^3544860^06/07/2023^95133^4IA^28860.00^0.00^0.00^28860.00^1^^^BUICF8683A^Abhira Estates^30/05/2023^32000.00^3200.00^0.00^0.00^3200.00^^3200.00^^28/05/2023^--Select--^--Select--^^--Select--^^^^^^^^^^^LineHash
0^26^DD^1^4^--Select--^3544860^06/07/2023^95133^4IA^28860.00^0.00^0.00^28860.00^2^^^HJVPY5487M^Eden Parker ^28/06/2023^46500.00^4650.00^0.00^0.00^4650.00^^4650.00^^30/05/2023^--Select--^02^^--Select--^^^^^^^^^^^LineHash
0^27^DD^1^4^--Select--^3544860^06/07/2023^95133^4IA^28860.00^0.00^0.00^28860.00^3^^^BHYFR2348J^Mahima Estates Ltd.^28/06/2023^50100.00^5010.00^0.00^0.00^5010.00^^5010.00^^30/05/2023^--Select--^02^^--Select--^^^^^^^^^^^LineHash
0^28^DD^1^4^--Select--^3544860^06/07/2023^95133^4IA^28860.00^0.00^0.00^28860.00^4^^^CWSCJ1668E^Mahira Kunal ^29/06/2023^42000.00^4220.00^0.00^0.00^4220.00^^4220.00^^30/05/2023^--Select--^01^^--Select--^^^^^^^^^^^LineHash
0^29^DD^1^4^--Select--^3544860^06/07/2023^95133^4IA^28860.00^0.00^0.00^28860.00^5^^^ZQEFP5567B^Rajesh Buildings^29/06/2023^58000.00^5800.00^0.00^0.00^5800.00^^5800.00^^28/06/2023^--Select--^02^^--Select--^^^^^^^^^^^LineHash
0^30^DD^1^4^--Select--^3544860^06/07/2023^95133^4IA^28860.00^0.00^0.00^28860.00^6^^^EQDFL1598A^Rudra Singh ^30/06/2023^59800.00^5980.00^0.00^0.00^5980.00^^5980.00^^28/06/2023^--Select--^02^^--Select--^^^^^^^^^^^LineHash
0^31^DD^1^5^--Select--^3544860^06/07/2023^65869^94C^6047.00^0.00^0.00^6047.00^1^^^CERFR5256K^Oberoi Interiors^28/06/2023^81300.00^8130.00^0.00^0.00^8130.00^^8130.00^^29/06/2023^--Select--^02^^--Select--^^^^^^^^^^^LineHash
0^32^DD^1^5^--Select--^3544860^06/07/2023^65869^94C^6047.00^0.00^0.00^6047.00^2^^^VWECS2685E^Sumo Suppliers & Firm^28/06/2023^62500.00^6250.00^0.00^0.00^6250.00^^6250.00^^29/06/2023^--Select--^01^^--Select--^^^^^^^^^^^LineHash
0^33^DD^1^5^--Select--^3544860^06/07/2023^65869^94C^6047.00^0.00^0.00^6047.00^3^^^BCEFC5465P^Sunil Amarawat^29/06/2023^93400.00^9340.00^0.00^0.00^9340.00^^9340.00^^28/06/2023^--Select--^02^^--Select--^^^^^^^^^^^LineHash
0^34^DD^1^5^--Select--^3544860^06/07/2023^65869^94C^6047.00^0.00^0.00^6047.00^4^^^BHYFR2348J^Park Joon Contracts^30/06/2023^88500.00^8850.00^0.00^0.00^8850.00^^8850.00^^30/06/2023^--Select--^02^^--Select--^^^^^^^^^^^LineHash
0^35^DD^1^5^--Select--^3544860^06/07/2023^65869^94C^6047.00^0.00^0.00^6047.00^5^^^JHFCV9872G^VIP Builders Ltd.^30/06/2023^64000.00^6400.00^0.00^0.00^6400.00^^6400.00^^30/06/2023^--Select--^--Select--^^--Select--^^^^^^^^^^^LineHash
