UAN#~#MEMBER NAME#~#GROSS WAGES#~#EPF WAGES#~#EPS WAGES#~#EDLI WAGES#~#EPF CONTRI REMITTED#~#EPS CONTRI REMITTED#~#EPF EPS DIFF REMITTED#~#NCP DAYS#~#REFUND OF ADVANCES
112345667780Rohini K.R160001500015000150001800149.941650.06
312345557781#~#Nandhana Manu#~#15000#~#10000#~#10000#~#10000#~#1200#~#99.96#~#1100.04#~##~#
312345557782#~#Saritha Sanu#~#15000#~#14000#~#14000#~#14000#~#1680#~#139.94#~#1540.06#~##~#
312345557783#~#Aishwarya K.S#~#17000#~#15000#~#15000#~#15000#~#1800#~#149.94#~#1650.06#~##~#
312345557783#~#Sumesh C.S#~#18000#~#16000#~#16000#~#16000#~#1920#~#159.94#~#1760.06#~##~#
312345557784#~#Veena Menon#~#15000#~#13000#~#13000#~#13000#~#1560#~#129.95#~#1430.05#~##~#
312345557785#~#Ramesh Vijayan#~#15000#~#12000#~#12000#~#12000#~#1440#~#119.95#~#1320.05#~##~#
422345557781#~#Ganga Ganapathy#~#14000#~#13000#~#13000#~#13000#~#1560#~#129.95#~#1430.05#~##~#
422345557780#~#Sreenivasan Madhu#~#21000#~#14000#~#14000#~#14000#~#1680#~#139.94#~#1540.06#~##~#
422345557785#~#Rimi Mathew#~#15000#~#12000#~#12000#~#12000#~#1440#~#119.95#~#1320.05#~##~#
542345667734#~#Amalu M.N#~#12000#~#10000#~#10000#~#10000#~#1200#~#99.96#~#1100.04#~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
